"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","539","Cистема вернёт ошибку, если неправильно указать логин","tests","2026-01-08","passed","2026-01-08","TestLoginCourier","test_login_courier","",""
"","538","Cистема вернёт ошибку, если неправильно указать пароль","tests","2026-01-08","passed","2026-01-08","TestLoginCourier","test_login_courier","",""
"","239","Ошибка при создании курьера без обязательных полей","tests","2026-01-08","passed","2026-01-08","TestCreateCourier","test_create_courier","",""
"","272","Успешное создание заказа с разными вариантами цветов","tests","2026-01-08","passed","2026-01-08","TestCreateOrder","test_create_order","",""
"","269","Успешное создание заказа с разными вариантами цветов","tests","2026-01-08","passed","2026-01-08","TestCreateOrder","test_create_order","",""
"","10003","Проверка получения списка заказов","tests","2026-01-08","passed","2026-01-08","TestOrderList","test_get_order","",""
"Баг: Сервер возвращает 'Этот логин уже используется. Попробуйте другой.' вместо 'Этот логин уже используется' при создании курьера с уже существующим логином","512","Ошибка при создании курьера с уже существующим логином","tests","2026-01-08","skipped","2026-01-08","TestCreateCourier","test_create_courier","",""
"Баг: Сервер возвращает 'Этот логин уже используется. Попробуйте другой.' вместо 'Этот логин уже используется' при создании дубликата","551","Нельзя создать двух одинаковых курьеров","tests","2026-01-08","skipped","2026-01-08","TestCreateCourier","test_create_courier","",""
"","322","Успешное создание курьера","tests","2026-01-08","passed","2026-01-08","TestCreateCourier","test_create_courier","",""
"","259","Успешное создание заказа с разными вариантами цветов","tests","2026-01-08","passed","2026-01-08","TestCreateOrder","test_create_order","",""
"","258","Cистема вернёт ошибку, если авторизоваться под несуществующим пользователем","tests","2026-01-08","passed","2026-01-08","TestLoginCourier","test_login_courier","",""
"Баг: Сервер возвращает 504 вместо 400 Bad Request при отсутствии поля password","60550","Ошибка авторизации при отсутствии обязательного поля","tests","2026-01-08","skipped","2026-01-08","TestLoginCourier","test_login_courier","",""
"Баг: Сервер возвращает 504 вместо 400 Bad Request при отсутствии поля password","524","Ошибка авторизации при отсутствии обязательного поля","tests","2026-01-08","passed","2026-01-08","TestLoginCourier","test_login_courier","",""
"","253","Ошибка при создании курьера без обязательных полей","tests","2026-01-08","passed","2026-01-08","TestCreateCourier","test_create_courier","",""
"","244","Успешное создание заказа с разными вариантами цветов","tests","2026-01-08","passed","2026-01-08","TestCreateOrder","test_create_order","",""
"","554","Успешная авторизация курьера","tests","2026-01-08","passed","2026-01-08","TestLoginCourier","test_login_courier","",""
